ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:41:01Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	B	83	6	6	1023.638	17370.621	843.750	15109.375	42	41	2827162	3152157	213.77	212.44	38	37	2638193405	12
2026-07-26T21:41:08Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.learned(s111,78ef6974)@1.opener(rand,4)@1	B	30	13	16	0.022	7007.588	0.000	6015.625	15	15	0	1318859	0.00	54.88	0	11	3533255942	12
2026-07-26T21:41:10Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	W	74	8	6	892.024	777.253	812.500	734.375	37	37	2971705	2432187	188.14	184.00	33	33	1602688877	12
2026-07-26T21:41:10Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	B	26	11	16	0.018	222.763	0.000	203.125	13	13	0	712604	0.00	49.00	0	9	82033654	12
2026-07-26T21:41:12Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	W	68	9	8	906.463	683.268	875.000	640.625	34	34	2818975	2376710	168.97	165.96	30	30	2824107000	12
2026-07-26T21:41:13Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148)@1.opener(rand,4)@1	B	59	9	10	612.098	692.934	625.000	625.000	30	29	2073321	2028974	142.00	141.00	26	25	1946394681	12
2026-07-26T21:41:14Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.learned(s76,ef183148)@1.opener(rand,4)@1	B	36	12	15	0.027	555.138	0.000	531.250	18	18	0	1747998	0.00	73.61	0	14	2223359594	12
2026-07-26T21:41:14Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	B	24	14	16	0.018	311.599	0.000	296.875	12	12	0	937411	0.00	42.61	0	8	841418737	12
2026-07-26T21:41:17Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d8,tt,ord,nb2m)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	28	11	16	0.020	2631.808	0.000	2562.500	14	14	0	8226638	0.00	73.00	0	10	564162861	12
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	B	38	13	13	0.153	505.193	0.000	468.750	19	19	1541	1462036	28.00	76.00	15	15	3419326527	12
