rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
176	567	26	196	69	127	35	63	34	64	49.6	6.982	5.157	1821	46	gone	ab(d4,tt,ord,nb200k)@1.learned(s20,30a9414b)@1
177	564	12	1120	427	693	211	349	216	344	41.8	5.316	8.100	27212	43	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r22)@1
178	561	25	318	110	208	52	107	58	101	38.3	5.691	7.216	31655	44	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r28)@1
179	560	26	196	67	129	36	62	31	67	48.6	10.041	7.881	1700	43	gone	ab(d4,tt,ord,nb200k)@1.learned(s32,18116b38)@1
180	559	16	524	279	245	127	135	152	110	51.5	0.267	0.257	789	70	gone	ab(d4,tt,ord,nb200k)@1.learned(s67,1c5729aa)@1
181	557	16	524	278	246	164	98	114	148	60.7	0.307	0.267	945	69	gone	ab(d4,tt,ord,nb200k)@1.learned(s44,a24e33eb)@1
182	556	20	504	179	325	88	164	91	161	37.5	4.915	6.031	111833	44	gone	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r25)@1
183	549	16	524	272	252	131	131	141	121	57.2	0.390	0.330	1260	66	gone	ab(d4,tt,ord,nb200k)@1.learned(s10,0ff9b1c8)@1
184	547	16	524	271	253	122	140	149	113	50.6	0.586	0.508	796	61	gone	ab(d4,tt,ord,nb200k)@1.learned(s61,a4ffae3c)@1
185	542	16	524	267	257	130	132	137	125	59.4	0.307	0.273	935	67	gone	ab(d4,tt,ord,nb200k)@1.learned(s16,d12688ec)@1
