mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms	within	within_opener8	ab_within	ab_within_opener8
panel	32	16	B	470	32	32	198	0.9815	66	50.5	266	10.13	19	0.1919	65.41	28.47	50.6	0.9903	3	4	0.9801	53.82	46.15	22.28	46.71	25.32
panel	64	2	A	128	64	64	198	0.9807	52	46.84	135	3.561	38	0.1212	56.24	44.06	38.44	0.9826	6	1	0.9711	58.21	43.94	40.66	54.55	51.22
panel	64	2	B	128	64	64	198	0.9844	37	39.19	136	9.682	37	0.03535	33.83	33.03	48.69	0.9886	4	1	0.9711	58.21	36.77	31.2	54.55	51.22
panel	64	4	A	246.3	64	64	198	0.9881	38	37.59	102	0.2121	28	0.1263	45.31	34.14	31.93	0.9853	6	3	0.9793	49.26	34.24	28.5	44.28	36.72
panel	64	4	B	245.3	64	64	198	0.9892	32	31.2	104	8.788	27	0.06566	30.11	26.2	36.42	0.9936	3	0	0.9793	49.26	29.12	23.06	44.28	36.72
panel	64	8	A	483	64	64	198	0.9914	22	34.5	129	-0.9697	20	0.1869	43.55	31.15	26.54	0.9843	5	5	0.9852	42.86	30.81	24.77	37.99	31.26
panel	64	8	B	480	64	64	198	0.9936	22	23.54	68	4.641	19	0.07576	21.93	20.42	27.64	0.998	2	2	0.9852	42.86	22.59	18.47	37.99	31.26
panel	64	16	A	956.3	64	64	198	0.9936	21	28.88	96	-2.475	14	0.2778	37.48	26.44	19.96	0.9883	4	3	0.9891	36.35	25.36	19.65	31.86	24.44
panel	64	16	B	949.3	64	64	198	0.9962	20	16.86	54	2.015	14	0.05556	18.07	14.42	17.85	0.9967	2	2	0.9891	36.35	16.29	12.78	31.86	24.44
panel	112	2	A	224	112	112	198	0.9885	46	34.66	125	1.879	28	0.07576	37.41	33.58	32.83	0.9933	3	3	0.9841	45.44	31.48	28.32	42.52	43.09
