rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
400	667	9	1796	653	1143	338	560	315	583	58.1	97.622	93.021	14067	40	gone	ab(deep=4)@1.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
401	667	22	344	85	259	31	141	54	118	47.9	0.515	0.503	1898	74	gone	ab(d4,tt,ord,nb200k)@1.learned(s9,e5b3b014,value,lin,129-1,con100)@1
402	666	9	1820	880	940	470	440	410	500	56.8	27.531	27.006	14419	45	on	ab(deep=4)@2.learned(model=77,ddaa5090,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
403	666	25	196	90	106	44	54	46	52	47.1	9.199	7.787	1659	52	gone	ab(d4,tt,ord,nb200k)@1.learned(s34,93fd930c)@1
404	665	10	1726	637	1089	280	578	357	511	56.4	18.885	17.809	59235	47	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=531,748d1c8d,tdleaf_self,lin,shape=129-1)@1
405	663	10	1736	630	1106	328	540	302	566	50.7	13.473	12.996	43418	49	gone	ab(deep=6,tt,ord,time=150ms)@1.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
406	662	25	196	89	107	57	41	32	66	49.2	9.586	7.619	1610	51	gone	ab(d4,tt,ord,nb200k)@1.learned(s30,ba8efc12)@1
407	662	25	196	89	107	46	52	43	55	47.1	0.834	0.690	1567	70	gone	ab(d4,tt,ord,nb200k)@1.learned(s9,4d37b1f7)@1
408	662	7	3472	1315	2157	674	1062	641	1095	45.0	10.177	10.014	37638	50	on	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.dil(prob=14)@1
409	662	25	318	126	192	69	90	57	102	38.2	5.891	7.611	33363	51	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@1.dil(prob=22)@1
410	660	8	2352	928	1424	479	705	449	719	43.9	0.158	0.247	3804	83	gone	ab(deep=4)@1.classic(chip=100)@2.dil(prob=10)@1
411	659	25	196	88	108	46	52	42	56	47.0	5.948	4.652	1646	54	gone	ab(d4,tt,ord,nb200k)@1.learned(s24,d1e5f517)@1
412	658	9	1820	863	957	471	439	392	518	53.1	14.805	14.677	57268	48	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=97,87a5093d,pool_games,lin,shape=129-1)@1
413	658	9	1796	635	1161	303	595	332	566	49.4	0.473	0.463	1749	74	gone	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=4,eb105733,pool_games,lin,shape=129-1)@1
414	656	10	1727	621	1106	270	588	351	518	55.0	42.103	39.332	65608	43	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=261,52cd70f8,tdleaf_self,mlp,shape=129-32-1)@1
415	655	9	1820	856	964	419	491	437	473	38.2	22.947	22.655	26353	45	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=585,e37f6895,tdleaf_self,mlp,shape=30-32-1)@1
416	654	9	1840	641	1199	336	584	305	615	50.9	12.984	12.693	43642	48	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=94,784bb5fe,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
417	654	8	2400	916	1484	466	734	450	750	43.8	5.272	9.144	26813	50	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.dil(prob=18)@1
